coverage	replicate	biological_class	cellular_fraction	relocate2_detection_recall	relocate2_status_accuracy_given_detected	relocate3-blat-bwa_detection_recall	relocate3-blat-bwa_status_accuracy_given_detected	relocate3-blat-bwaaln_detection_recall	relocate3-blat-bwaaln_status_accuracy_given_detected	relocate3-bowtie2-bwa_detection_recall	relocate3-bowtie2-bwa_status_accuracy_given_detected	relocate3-bwa-bwa_detection_recall	relocate3-bwa-bwa_status_accuracy_given_detected	relocate3-minimap2-minimap2_detection_recall	relocate3-minimap2-minimap2_status_accuracy_given_detected	relocate2_minus_relocate3-blat-bwa_recall	relocate2_minus_relocate3-blat-bwaaln_recall	relocate2_minus_relocate3-bowtie2-bwa_recall	relocate2_minus_relocate3-bwa-bwa_recall	relocate2_minus_relocate3-minimap2-minimap2_recall	relocate3-blat-bwa_minus_relocate3-blat-bwaaln_recall	relocate3-blat-bwa_minus_relocate3-bowtie2-bwa_recall	relocate3-blat-bwa_minus_relocate3-bwa-bwa_recall	relocate3-blat-bwa_minus_relocate3-minimap2-minimap2_recall	relocate3-blat-bwaaln_minus_relocate3-bowtie2-bwa_recall	relocate3-blat-bwaaln_minus_relocate3-bwa-bwa_recall	relocate3-blat-bwaaln_minus_relocate3-minimap2-minimap2_recall	relocate3-bowtie2-bwa_minus_relocate3-bwa-bwa_recall	relocate3-bowtie2-bwa_minus_relocate3-minimap2-minimap2_recall	relocate3-bwa-bwa_minus_relocate3-minimap2-minimap2_recall
30	1	heterozygous	1.0	0.95	0.9263157894736842	0.93	0.9247311827956989	0.94	0.925531914893617	0.93	0.9247311827956989	0.93	0.9247311827956989	0.93	0.9139784946236559	0.02	0.01	0.02	0.02	0.02	-0.01	0	0	0	0.01	0.01	0.01	0	0	0
30	1	homozygous	1.0	0.97	0.979381443298969	0.98	0.9693877551020408	0.98	0.9693877551020408	0.98	0.9693877551020408	0.98	0.9693877551020408	0.98	0.9693877551020408	-0.01	-0.01	-0.01	-0.01	-0.01	0	0	0	0	0	0	0	0	0	0
30	1	somatic_insertion	0.1	0.48	0.7291666666666666	0.33	0.7575757575757576	0.39	0.7692307692307693	0.33	0.7575757575757576	0.33	0.7575757575757576	0.33	0.7878787878787878	0.15	0.09	0.15	0.15	0.15	-0.06	0	0	0	0.06	0.06	0.06	0	0	0
30	1	somatic_insertion	0.2	0.82	0.4024390243902439	0.77	0.5064935064935064	0.78	0.48717948717948717	0.77	0.5064935064935064	0.75	0.49333333333333335	0.75	0.5066666666666667	0.05	0.04	0.05	0.07	0.07	-0.01	0	0.02	0.02	0.01	0.03	0.03	0.02	0.02	0
30	1	somatic_insertion	0.4	0.9	0.08888888888888889	0.86	0.11627906976744186	0.88	0.10227272727272728	0.86	0.11627906976744186	0.86	0.11627906976744186	0.84	0.13095238095238096	0.04	0.02	0.04	0.04	0.06	-0.02	0	0	0.02	0.02	0.02	0.04	0	0.02	0.02
30	2	heterozygous	1.0	0.95	0.8210526315789474	0.94	0.8191489361702128	0.94	0.8191489361702128	0.94	0.8191489361702128	0.94	0.8191489361702128	0.94	0.8191489361702128	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0
30	2	homozygous	1.0	0.97	0.979381443298969	0.98	0.9693877551020408	0.98	0.9693877551020408	0.98	0.9693877551020408	0.98	0.9693877551020408	0.98	0.9693877551020408	-0.01	-0.01	-0.01	-0.01	-0.01	0	0	0	0	0	0	0	0	0	0
30	2	somatic_insertion	0.1	0.44	0.7727272727272727	0.39	0.8205128205128205	0.42	0.7857142857142857	0.38	0.8421052631578947	0.38	0.8421052631578947	0.36	0.8055555555555556	0.05	0.02	0.06	0.06	0.08	-0.03	0.01	0.01	0.03	0.04	0.04	0.06	0	0.02	0.02
30	2	somatic_insertion	0.2	0.78	0.44871794871794873	0.67	0.5522388059701493	0.74	0.5540540540540541	0.66	0.5606060606060606	0.66	0.5757575757575758	0.65	0.5692307692307692	0.11	0.04	0.12	0.12	0.13	-0.07	0.01	0.01	0.02	0.08	0.08	0.09	0	0.01	0.01
30	2	somatic_insertion	0.4	0.92	0.07608695652173914	0.87	0.09195402298850575	0.88	0.07954545454545454	0.87	0.09195402298850575	0.86	0.09302325581395349	0.84	0.07142857142857142	0.05	0.04	0.05	0.06	0.08	-0.01	0	0.01	0.03	0.01	0.02	0.04	0.01	0.03	0.02
30	3	heterozygous	1.0	0.95	0.8526315789473684	0.94	0.8617021276595744	0.94	0.8617021276595744	0.94	0.8617021276595744	0.94	0.8617021276595744	0.94	0.8617021276595744	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0
30	3	homozygous	1.0	0.97	0.9690721649484536	0.98	0.9693877551020408	0.98	0.9693877551020408	0.98	0.9693877551020408	0.98	0.9693877551020408	0.98	0.9693877551020408	-0.01	-0.01	-0.01	-0.01	-0.01	0	0	0	0	0	0	0	0	0	0
30	3	somatic_insertion	0.1	0.48	0.8333333333333334	0.31	0.8709677419354839	0.39	0.8205128205128205	0.31	0.8709677419354839	0.31	0.8709677419354839	0.28	0.7857142857142857	0.17	0.09	0.17	0.17	0.2	-0.08	0	0	0.03	0.08	0.08	0.11	0	0.03	0.03
30	3	somatic_insertion	0.2	0.71	0.4225352112676056	0.6	0.5833333333333334	0.62	0.5	0.6	0.5833333333333334	0.6	0.6	0.59	0.5932203389830508	0.11	0.09	0.11	0.11	0.12	-0.02	0	0	0.01	0.02	0.02	0.03	0	0.01	0.01
30	3	somatic_insertion	0.4	0.92	0.043478260869565216	0.91	0.06593406593406594	0.91	0.054945054945054944	0.91	0.06593406593406594	0.89	0.056179775280898875	0.89	0.056179775280898875	0.01	0.01	0.01	0.03	0.03	0	0	0.02	0.02	0	0.02	0.02	0.02	0.02	0
